,title,type,source,text,added_date
77,Thousands of Armenians in Karabakh mass at airport after ceasefire deal,World,Reuters,"Thousands of Armenians in Nagorno-Karabakh on Wednesday massed at the airport where some Russian peacekeepers are based after separatist forces agreed to a ceasefire which would see them surrender to Azerbaijan.  Separatists running the self-styled ""Republic of Artsakh"" urged the population of 120,000 not to rush to the airport in the capital which they call Stepanakert.  ""We once again urge the population of Stepanakert not to succumb to panic and not to go to the airport on their own initiative in order to evacuate,"" the separatists said.",2023-09-20 16:46:20.124639
78,US STOCKS-Wall St rises as yields slip ahead of Fed rate verdict,Business,Reuters,"U.S. stocks gained on Wednesday as Treasury yields retreated ahead of a likely pause in the Federal Reserve's policy tightening campaign, though concerns over rates staying higher for longer kept investor sentiment in check.  The U.S. central bank is expected to maintain its key rate in the range of 5.25%-5.50% as it concludes its meeting at 2 p.m. ET, with investors focused on Fed economic projections and Chair Jerome Powell's comments for clues on the outlook for rates and inflation.  Recent economic data has signaled an easing in core inflation, fuelling bets interest rates could have peaked, but a surge in oil prices has clouded the outlook for headline inflation, providing the Fed room to keep rates higher for longer.",2023-09-20 16:56:52.582747
79,TREASURIES-Yields fall from 16-year highs before Fed rate decision,Business,Reuters,"Rising oil prices have increased concerns that the U.S. central bank may need to make additional rate hikes or hold rates higher for longer to bring price pressures closer to its 2% annual target.  “We’ve had some warning signs flash in the economy but not enough to really set expectations for significant weakness coming up,” said Thomas Simons, a money market economist at Jefferies in New York.  At the same time, “I don’t think there is much expectation that the Fed is going to go to significantly higher rates, it may just be one (more increase),” Simons said, adding that the cost of shorting bonds is also very expensive.",2023-09-20 16:56:54.062945
80,GE Healthcare: why it's still waiting on its Leqembi windfall,Health,Yahoo Finance,GE Healthcare's potential windfall from Leqembi approval is being hampered by CMS coverage of PET scans.,2023-09-20 17:04:41.650109
81,"US SEC poised to ban deceptive ESG, 'growth' fund labels",Business,Reuters,"The vote by the U.S. Securities and Exchange Commission would update a two-decade-old ""Names Rule"" requiring that investment fund names match the assets they contain.  The proposal has met stiff industry opposition but financial reform advocates say billions of dollars are now invested in popular funds that may actually support fossil fuel production and do not meet the environmental, social and governance, or ESG, goals suggested by their names, which can change frequently.  Under the change, funds names including terms like ""growth"" or ""value"" or that indicate ESG-driven investment decisions would have to keep 80% of their assets in the kind of investments suggested by their names - using the terms' plain-English meanings and following established industry use.",2023-09-20 17:11:02.366064
82,UPDATE 1-Swedish prosecutor hopes to conclude Nord Stream enquiry by year-end,World,Reuters,"The Swedish investigation into the sabotage last year of the Nord Stream pipelines is at a sensitive stage and the prosecutor hopes to decide whether to bring any charges before the end of this year, he told Reuters on Wednesday.  In September 2022, several unexplained underwater explosions ruptured the Nord Stream 1 and newly-built Nord Stream 2 pipelines that link Russia and Germany across the Baltic Sea.  ""We hope to conclude the investigation shortly but there is still a lot to do and nothing will happen for the next four weeks,"" Mats Ljungqvist said in an interview.",2023-09-20 17:13:07.878722
83,UPDATE 1-Austria taps Embraer's C-390 aircraft to replace retiring C-130 fleet,Business,Reuters,"Austria plans to replace its retiring C-130 Hercules fleet with Embraer's C-390 Millenium military transport aircraft, the country's Defence Minister Klaudia Tanner said on Wednesday.  Austria is aiming to buy about four aircrafts and is negotiating with the Netherlands on a potential joint order, Tanner told a news conference.  In a statement, Embraer said it was honoured to be chosen to support Austria and is ready to meet the requirements, aiming to further strengthen its relationship with the country.",2023-09-20 17:19:40.663919
84,FOREX-Dollar retreats ahead of Fed decision; cooling inflation weighs on sterling,Business,Reuters,"The dollar edged lower on Wednesday ahead of a much-anticipated interest rate decision by the U.S. Federal Reserve later in the day, while sterling slid on increased bets the Bank of England (BoE) will pause its historic run of interest rate hikes.  The index rose for its ninth straight week last week, its longest winning streak in nearly a decade as resilient U.S. growth has fueled a rebound in the dollar, though the rally will likely be tested by Wednesday's Fed decision and commentary.  ""The market, I think, has been surprised by the strength of the U.S. economy,"" said Stuart Cole, chief macroeconomist at Equiti Capital in London, said.",2023-09-20 17:19:41.563592
85,"Bank of America strategists raise S&P year-end target to 4,600",Business,Yahoo Finance Video,"Bank of America (BAC) strategists, led by Head of Equity and Quantitative Strategy Savita Subramanian, have lifted their S&P 500 (^GSPC) year-end target to 4,600 points. This follows other upward S&P revisions from teams at Societe Generale and Oppenheimer. Yahoo Finance anchors Brad Smith and Seana Smith report live from the Nasdaq MarketSite to analyze BofA's latest note and how its team is favoring ""Magnificent Seven"" tech stocks.",2023-09-20 17:21:53.189670
86,Pinterest stock moves on revenue growth forecasts,Business,Yahoo Finance Video,"Pinterest (PINS) shares rise after the company projects year-over-year revenue growth at its first Investor Day on Tuesday, September 19th.  Yahoo Finance's Seana Smith and Brad Smith discuss Evercore's note on Pinterest.",2023-09-20 17:21:53.998274
87,Dollar General stock downgraded to 'Underweight' by JPMorgan,Business,Yahoo Finance Video,"Dollar General (DG) shares are down in the pre-market trading session after JP Morgan analysts cut its rating from ""Neutral"" to ""Underweight."" Income worries, retail shrink, and consumers ""acting recessionary"" by spending more strategically are several factors analysts forecast will contribute to flattened sales growth. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 17:26:02.282719
88,Nigeria's naira falls to a record 980 on black market - abokiFx,Business,Reuters,"Nigeria's naira fell to a record low on the black market on Wednesday, driven mostly by speculative demand as individuals turn to the dollar as a store of value, traders said.  The unit was quoted at 980 naira to the U.S. dollar on abokiFx, a firm that publishes online black market exchange rates for the currency, compared with 965 on Tuesday.  The naira was quoted at 773.50 on the official market at 1349 GMT, swinging between a range of 738 naira and 789 naira this month.",2023-09-20 17:26:03.062310
89,Netflix can be sued by ex-Central Park Five prosecutor for defamation,U.S.,Reuters,"Netflix was ordered by a federal judge to face a defamation lawsuit by best-selling author and former Manhattan prosecutor Linda Fairstein over her portrayal in a 2019 crime drama about the Central Park Five case.  U.S. District Judge Kevin Castel on Tuesday said Fairstein plausibly alleged that Netflix, director Ava DuVernay and writer-producer Attica Locke acted with actual malice as to five scenes in ""When They See Us.""  The series dramatized the story of five Black and Hispanic teenagers who spent five to 13 years in prison after being wrongfully convicted in the April 1989 rape of a white jogger in Central Park.",2023-09-20 17:30:27.721742
90,UPDATE 1-Delivery Hero could sell part of Asian business for $1 bln-report,Business,Reuters,"Delivery Hero is in advanced talks on a partial sale of its Asia business, the Wirtschaftswoche business magazine reported on Wednesday, saying Singapore's Grab could pay a little more than 1 billion euros ($1.07 billion).  The Berlin-based company could sell its activities under the Foodpanda brand in Singapore, Cambodia, Malaysia, Myanmar, the Philippines and Thailand, according to Wirtschaftswoche, which cited sources familiar with the matter.  Delivery Hero and Grab did not immediately reply to emailed requests for comment.",2023-09-20 17:30:28.884304
91,FDA says it needs more research before deciding to approve nasal spray to treat dangerous allergies,U.S.,AP Finance,"Federal regulators declined to approve a nasal spray to treat severe allergic reactions late Tuesday, calling for more research on what would have been the first alternative to injections using devices such as an EpiPen.  The U.S. Food and Drug Administration told ARS Pharmaceuticals Inc., of San Diego, that the company needs to conduct another study on repeat doses of epinephrine, a drug that halts potentially life-threating reactions, called anaphylaxis, using the company's nasal spray device compared with injections.  The move comes four months after an FDA advisory committee recommended approval of the device, dubbed neffy.",2023-09-20 17:36:36.663445
92,"US natgas prices fall 4% on drop in LNG feedgas, milder weather forecasts",Business,Reuters,"U.S. natural gas futures fell about 4% on Wednesday as the amount of gas flowing to the nation's liquefied natural gas (LNG) export plants declined with the shutdown of the Cove Point LNG export plant in Maryland and on forecasts for milder weather and less gas demand over the next two weeks than previously expected.  Front-month gas futures for October delivery on the New York Mercantile Exchange were down 12.5 cents, or 4.4%, to $2.723 per million British thermal units (mmBtu) at 10:03 a.m. EDT (1403 GMT).  SUPPLY AND DEMAND  Financial firm LSEG said average gas output in the lower 48 U.S. states has eased to 102.2 billion cubic feet per day (bcfd) so far in September, down from a record 102.3 bcfd in August.",2023-09-20 17:36:37.556964
93,UPDATE 1-UN chief urges world not to yield to 'naked greed' of fossil fuel interests,World,Reuters,"U.N. Secretary-General Antonio Guterres told a climate summit of leaders at the U.N. General Assembly on Wednesday that time was running out to tackle climate change, thanks in part to the ""naked greed"" of fossil fuel interests.  With the annual U.N. climate summit, COP28, due to take place in November and December in Dubai in the United Arab Emirates, Guterres implored national policymakers to step up efforts to phase out the use of climate-warming fossil fuels.",2023-09-20 17:41:10.662987
94,"Disney's park investment, Instacart stock, General Mills earnings: Top Stocks",Business,Yahoo Finance Video,"Stocks tick up in the morning session in anticipation of the Fed's interest rate decision later today. Disney (DIS) plans to invest $60 billion into its theme parks and cruise lines over the next decade. Instacart (CART) shares tumble this morning in its first full trading day after its IPO debut yesterday. Lastly, General Mills (GIS) posted its first-quarter earnings, narrowly topping adjusted earnings per share and reporting revenue growth amid inflation. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 17:43:11.005484
95,UPDATE 1-Pay-TV group Sky keeps faith in Germany and in soccer,Business,Reuters,"European pay-TV company Sky is keeping faith with the German market and its historical mainstay Premier League soccer, Chief Executive Dana Strong said on Wednesday, signaling no major change in strategy from its U.S. owner Comcast.  Media reports have said Sky's German business could be on the block.  There was ""really important potential"" for Sky's streaming services in the country, she said, and a new CEO had just been appointed.",2023-09-20 17:49:40.849998
96,UAW workers strike at Mercedes supplier ZF's plant in Alabama,Business,Reuters,"The United Auto Workers (UAW) union said on Wednesday that 190 workers went on strike at Mercedes-supplier ZF's plant in Alabama, demanding higher pay and better healthcare benefits.  ZF, which makes front axles used by Mercedes, said the plant in Tuscaloosa would operate while talks with the union continue.  Mercedes Benz did not immediately respond to a request for comment.",2023-09-20 17:49:41.541558
97,Work stoppages like the UAW strike have become a rarity,Business,Yahoo Finance,"A few prominent strikes are getting attention this year, but major work stoppages hardly ever happen any more.",2023-09-20 17:53:49.780683
98,CANADA STOCKS-TSX ticks higher on materials boost; U.S. Fed decision on watch,Business,Reuters,"Toronto stocks ticked up on Wednesday as higher gold prices boosted materials shares, while investors await the U.S. Federal Reserve's interest rate decision.  At 10:19 a.m. ET (1419 GMT), the Toronto Stock Exchange's S&P/TSX composite index was up 91.2 points, or 0.45%, at 20,310.09.  The Fed is expected to keep interest rates steady in the range of 5.25%-5.50% as its meeting on Wednesday.",2023-09-20 17:53:50.534625
99,Starbucks: Why Howard Schultz's departure could 'open the door' for expansion in China,Business,Yahoo Finance,Starbucks is slowly building up its presence in China.,2023-09-20 18:15:34.181558
100,"John Grisham, other top US authors sue OpenAI over copyrights",Business,Reuters,"A trade group for U.S. authors has sued OpenAI in Manhattan federal court on behalf of prominent writers including John Grisham, Jonathan Franzen, George Saunders, Jodi Picault and ""Game of Thrones"" novelist George R.R. Martin, accusing the company of unlawfully training its popular artificial-intelligence based chatbot ChatGPT on their work.  The proposed class-action lawsuit filed late on Tuesday by the Authors Guild joins several others from writers, source-code owners and visual artists against generative AI providers.  In addition to Microsoft-backed OpenAI, similar lawsuits are pending against Meta Platforms and Stability AI over the data used to train their AI systems.",2023-09-20 18:15:34.870463
101,Grain spat drags Ukraine's ties with ally Poland to lowest point since start of Russian invasion,World,AP Finance,"A dispute about whether Ukrainian grain should be allowed to enter the domestic markets of Poland and other European Union countries has pushed the tight relationship between Kyiv and Warsaw to its lowest point since Russia invaded Ukraine last year.  Polish leaders have compared Ukraine to a drowning person hurting his helper and threatened to expand a ban on food products from the war-torn country.  Meanwhile, Ukrainian President Volodymyr Zelenskyy suggested that EU allies that are prohibiting imports of his nation’s grain are helping Russia.",2023-09-20 18:23:20.340465
102,"Colombia's Ecopetrol, Gran Tierra Energy extend production contract for 20 years",Business,Reuters,"Colombia's majority state-owned energy company Ecopetrol and Canadian oil producer Gran Tierra Energy have agreed to extend a joint production contract for 20 years, Ecopetrol said on Wednesday.  The two companies will extend the incremental production contract at the Suroriente block in Colombia's Putumayo province with the aim of extending the life of the oil fields and increasing recovery rates, Ecopetrol said.  The government of leftist President Gustavo Petro has set its sights on weaning Colombia off of its dependence on hydrocarbons like oil and coal in favor of renewable energy sources.",2023-09-20 18:31:29.509516
103,"UPDATE 1-US plans $325 million Ukraine aid announcement for Zelenskiy visit, official says",World,Reuters,"U.S. President Joe Biden plans to announce a $325 million military aid package for Ukraine on Thursday to coincide with a visit to Washington by President Volodymyr Zelenskiy, a U.S. official said on Wednesday on condition of anonymity.  The weapons aid package was expected to include the second tranche of cluster munitions fired by a 155 millimeter Howitzer cannon, the U.S official said.  Other new weapons for Ukraine were expected to be announced around the time of Biden's meeting with Zelenskiy, but not ATACMS missiles which have been under discussion, the U.S. official said.",2023-09-20 18:31:30.376861
104,"Qualcomm enters new Wi-Fi router market in deals with Charter, EE",Business,Reuters,"Qualcomm on Wednesday said it was getting into a new market for Wi-Fi routers and that Charter Communications and the UK's EE will be among its first customers.  San Diego, California-based Qualcomm is the world's biggest supplier of the chips that help mobile phones connect to cellular data networks, but it has also long had a business selling Wi-Fi chips for consumer Wi-Fi routers.  The company said Wednesday it is getting into a new segment of that market by selling what are known as gateways, a device often supplied by broadband carriers where a physical fiber-optic line from a carrier enters the home and is transformed into a Wi-Fi signal.",2023-09-20 18:32:05.668143
105,Adidas CEO: Kanye West didn't mean antisemitic remarks,Business,Reuters,"Adidas CEO Bjorn Gulden has defended the artist formerly known as Kanye West, saying he didn't think the divisive celebrity meant the antisemitic remarks that led to his lucrative Yeezy collaboration with the German sportswear giant being axed.  Adidas ended its partnership with West, who now goes by the name Ye, in October 2022 after he sparked outrage with his erratic posts on social media, including a tweet in which he called for ""death con 3 On JEWISH PEOPLE"".  Commenting on the scandal which has cost Adidas tens of millions in lost sales, Gulden told the In Good Company podcast that Ye had made some statements that weren't ""that good"".",2023-09-20 18:49:13.441775
106,Bank of America sees more upside for stocks despite 'fresh wave of bear narratives',Business,Yahoo Finance,Bank of America boosted its price target for the S&P 500 as it believes current economic headwinds won't weigh on stocks.,2023-09-20 18:51:40.567514
107,"Intel 'late' to AI, but shouldn't be ruled out yet: Analyst",Business,Yahoo Finance Video,"Intel (INTC) revealed how it plans to incorporate AI into upcoming products at its annual innovation event in San Jose, CA. CEO Pat Gelsinger emphasized the importance of AI to the company, stating ""Intel is going to build AI into every platform."" Stifel Analyst Ruben Roy says that it will take some time to gauge Intel's ""very ambitious goal."" Pointing out that Intel may be ""late potentially to the game,"" Roy insists the company should not be ruled out, though he cautions it's still too early to tell how successful they will be.  For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 18:51:41.400702
108,Disney's big parks bet worries some Wall St analysts,Business,Reuters,"Walt Disney's $60 billion spending plan on parks and cruises to stay ahead of growing competition has worried some Wall Street analysts with its long road to payoff.  The media and entertainment giant on Tuesday unveiled a 10-year outlay for the business that has carried it through streaming losses, at a gathering of Wall Street analysts and investors at the Walt Disney World Resort in Orlando, Florida.  ""The struggle for investors may be to match their investment horizon with the return horizon of the company's plan.""",2023-09-20 19:02:17.533363
109,"Uber Eats to roll out AI features, more payment options",Business,Reuters,"Uber Technologies will accept more payment options on its food delivery platform and roll out an artificial intelligence (AI)-powered assistant to help users find deals and explore different food options, the company said on Wednesday.  Uber Eats will get a dedicated section to showcase promotional offers called ""Sales Aisle"".  Food delivery platforms have been investing in AI as they attempt to offer a more curated service and make their apps more convenient.",2023-09-20 19:02:18.639158
110,"As writers and studios resume negotiations, here are the key players in the Hollywood strikes",U.S.,AP Finance,"Negotiations between striking screenwriters and Hollywood studios are set to resume Wednesday, the latest attempt to bring an end to pickets that have brought film and television productions to a halt.  Actors, who joined the writers on strike in July, have their own issues but there have been no discussions about resuming negotiations with their union yet.  The key players in the two strikes that have brought Hollywood to a halt include little-known leaders, labor lawyers, entertainment tycoons and the actor who played “The Nanny.”",2023-09-20 19:09:16.320972
111,"US STOCKS-S&P, Dow rise as yields slip ahead of Fed rate verdict",Business,Reuters,"The S&P 500 and the Dow gained on Wednesday as Treasury yields pulled back ahead of a likely pause in the Federal Reserve's policy tightening campaign, though concerns over rates staying higher for longer kept investor sentiment in check.  The U.S. central bank is expected to maintain its key rate in the range of 5.25%-5.50% as it concludes its meeting at 2 p.m. ET, with investors focused on Fed economic projections and Chair Jerome Powell's comments for clues on the outlook for rates and inflation.",2023-09-20 19:09:17.310892
112,ETF inflows 50/50 between equity and fixed-income in 2023,Business,Yahoo Finance Video,"Investors seek out certainty in an uncertain market alongside heavy speculation over the Fed's year-end interest rate outlook. VettaFi Vice Chairman Tom Lydon joins Yahoo Finance's Rachelle Akuffo to detail his ETF picks to circumvent interest rate concerns, while also differentiating active and passive ETFs. ""Even though today there's $6.2 trillion in money market funds getting about 5%, when [interest] rates cut, that yield is going to be cut dramatically,"" Lydon details the overhang the Fed's interest rate strategy could have. ""And they don't want to be stuck on the sidelines, they'd rather be longer duration — areas like corporate credit, even high-yield."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 19:13:43.064340
113,"Dow, S&P 500 step higher as markets wait for Fed decision on interest rates: Stock market news today",Business,Yahoo Finance,Wall Street stocks set up for a higher open as investors focus on what the Fed plans for the future.,2023-09-20 19:22:29.579544
114,Dollar General stock downgraded on low-income shopper 'acting recessionary',Business,Yahoo Finance,"Student loan repayments, elevated interest rates and higher fuel prices could worsen the picture for 
Dollar General's customers, JPM said.",2023-09-20 19:25:00.625749
115,Michael Bloomberg pumps $500 million into bid to close all US coal plants,Business,Reuters,"Former New York City Mayor Michael Bloomberg announced on Wednesday he will pump $500 million into the next phase of his energy transition campaign, aiming to shut down ""every last"" coal plant in the United States and slash gas-fired capacity in half by 2030.  The $500 million infusion into his decade-long Beyond Carbon initiative aims to ""finish the job on coal"" by working with state and local organizations to force the closure of the roughly 150 coal plants that have not yet retired, slash current gas generation in half and block the construction of new gas-fired plants.  Bloomberg already has spent over $500 million to support the Sierra Club's Beyond Coal campaign, which originally aimed to retire 30% of the U.S. coal fleet by 2020.",2023-09-20 19:25:01.605913
116,"UPDATE 1-US SEC cracks down on funds ""greenwashing"" with new investment requirement",Business,Reuters,"Wall Street's top regulator on Wednesday adopted a new rule cracking down on so-called ""greenwashing"" and other deceptive or misleading marketing practices by U.S. investment funds.  The changes to the two decades-old Securities and Exchange Commission (SEC) ""Name Rule"" requires that 80% of a fund's portfolio matches the asset advertised by its name.  It takes aim at a boom in funds that have tried to exploit investor interest in environmental, social and governance, or ESG, investing with names that do not accurately reflect its investments or strategies.",2023-09-20 19:36:14.266741
117,Disney CEO says company will 'quiet the noise' in culture wars - analyst,Business,Reuters,"Walt Disney CEO Bob Iger told investors the company will ""quiet the noise"" in a culture war that has pitted social conservatives against the global media and entertainment conglomerate, according to an analyst note on Wednesday.  Iger’s brief statement, included in an analyst report from Needham media analyst Laura Martin, was part of an investors’ presentation on Tuesday at Walt Disney World Resort in Orlando, Florida, in which the CEO also announced Disney will double its investment in theme parks and cruise ships over the next decade.",2023-09-20 19:49:18.078975
118,"Amazon plays catch-up with Alexa generative AI, shows off refreshed hardware",Business,Reuters,"Amazon.com Inc on Wednesday unveiled a slate of new and refreshed devices and updated its Alexa voice assistant with generative artificial intelligence to attract users to the unprofitable product as competition grows from chatbots like Google's Bard.  Alexa will converse more naturally next year, losing its robotic tone of nearly a decade, and answer questions like the start time for football games and recipe ideas.  It will also be able to compose and recite poems, Amazon showed at the company's annual product launch in Arlington, Virginia.",2023-09-20 19:55:53.311323
119,UPDATE 1-UK firm sold thousands of unverified jet engine parts -CFM,World,Reuters,"Jet engine maker CFM International said on Wednesday thousands of engine components may have been sold with forged paperwork by a British distributor, as the fallout from a probe into falsely certified parts reached London's High Court.  Matthew Reeve, a lawyer for CFM and its co-owners General Electric and Safran, said AOG Technics had engaged in a ""deliberate, dishonest and sophisticated scheme to deceive the market with falsified documents on an industrial scale"".",2023-09-20 20:06:51.133322
120,Stocks are 'priced for perfection': Portfolio manager,Business,Yahoo Finance Video,"The ""magnificent seven"" have powered the stock market's gains this year. Brandywine Global Portfolio Manager John McClain tells Yahoo Finance Live those stocks have been driven by AI and China relations. ""If either one of those things start to cool a bit, you will see a meaningful pullback,"" McClain says. Watch the video above to find out why McClain says stocks are currently ""priced for perfection."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 20:06:52.432853
121,Revolving door redux: The DEA's recently departed No. 2 returns to a Big Pharma consulting firm,U.S.,AP Finance,"Washington’s revolving door kept spinning this week as the Drug Enforcement Administration’s recently departed second-in-command returned for a new stint with the high-powered consulting firm where he previously advised Purdue Pharma and a drug distributor fighting sanctions over a deluge of suspicious painkiller shipments.  Louis Milione retired from the DEA a second time this summer amid reporting by The Associated Press on potential conflicts caused by his prior consulting for the pharmaceutical industry.  Less than three months later, Milione again landed a plum job at Guidepost Solutions, a New York-based firm hired by some of the same companies he had been tasked with regulating when he returned to the DEA in 2021 as Administrator Anne Milgram’s top deputy.",2023-09-20 20:10:49.895375
122,UK pullbacks on green pledges are 'ominous' for 2024 U.S elections: Expert,Politics,Yahoo Finance Video,"Climate week is one of the largest annual events focused on global warming. Thousands of protestors meet to show their support in the hopes that governments and corporations will listen to their concerns. Is it a losing battle when world leaders pullback on their climate commitments? David Callaway, Callaway Climate Insights Founder, joins Yahoo Finance to discuss how world leaders are reacting to what he describes as ""the worst year for climate disasters."" Callaway expounds on the political situation in the UK, claiming that conservatives are trying to improve their political standing by lowering energy costs. He goes on to say that he believes that Republicans in the U.S will be watching closely because ""...reducing energy costs is a very populous measure, and some voters are going to like it."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 20:10:51.153295
123,Apple’s iPhone gaming success faces a big obstacle,News,Yahoo Finance,"Apple is proudly showing off the iPhone 15 Pro's gaming capabilities, but turning the phone into a rival for the likes of Sony, Nintendo, and Microsoft will be incredibly difficult.",2023-09-20 20:15:35.732551
124,EXPLAINER-How France aims to discourage buying of Chinese EVs,Business,Reuters,"France on Wednesday published new eligibility rules for  electric car incentives to exclude EVs made in China, even though carmakers in Europe do not have more affordable rival models on the French market.  WHY IS FRANCE REVISING ITS EV BONUS ELIGIBILITY RULES?  The French government currently offers buyers a cash incentive of between 5,000 and 7,000 euros in cash for eligible models to get more electric cars on the road, at a total cost of 1 billion euros ($1.07 billion) per year.",2023-09-20 20:15:37.113676
125,A small venture capital player becomes a symbol in the fight over corporate diversity policies,Business,AP Finance,"A venture capital firm that has backed buzzy new companies like restaurant chain Slutty Vegan and beauty brand Live Tinted has become symbolic of the fight over corporate diversity policies since becoming a target of a lawsuit over a grant program for Black women.  The Atlanta-based firm has invested nearly $27 million in some 40 businesses led by women of color since launching in 2019, and awarded another $3.7 million in grants.  While the money has made a big difference to those businesses, Fearless Fund co-founder Arian Simone said it's a drop in the bucket compared to systemic changes needed to close the racial and gender gap in venture capital funding.",2023-09-20 20:19:37.652238
126,UPDATE 1-UK plans to bring more online TV channels under regulator's content rules,News,Reuters,"The British government said on Wednesday it planned to bring more internet-based television channels under the same content rules set by regulator Ofcom as traditional channels.  Culture Secretary Lucy Frazer said it was the government's job to look at internet-based channels that fell outside the existing regulations.  ""That's why we are going to consult on whether we need to extend regulation to these unregulated channels,"" she said at the Royal Television Society's Cambridge Convention.",2023-09-20 20:23:51.392829
127,US employers to see biggest healthcare cost jump in a decade in 2024,Business,Reuters,"U.S. employers are bracing for the largest increase in health insurance costs in a decade next year, according forecasts from healthcare consultants, but workers may be somewhat spared this time around in a tight labor market.  A survey conducted by Mercer, a unit of Marsh McLennan , found over two thirds of employers either do not plan to shift any cost increase to their staff or will pass on less than the expected rise in 2024.",2023-09-20 20:23:52.608582
128,"John Grisham, George R.R. Martin and more authors sue OpenAI for copyright infringement",Business,AP Finance,"John Grisham, Jodi Picoult and George R.R. Martin are among 17 authors suing OpenAI for “systematic theft on a mass scale,” the latest in a wave of legal action by writers concerned that artificial intelligence programs are using their copyrighted works without permission.  In papers filed Tuesday in federal court in New York, the authors alleged “flagrant and harmful infringements of plaintiffs’ registered copyrights” and called the ChatGPT program a “massive commercial enterprise” that is reliant upon “systematic theft on a mass scale.”  The suit was organized by the Authors Guild and also includes David Baldacci, Sylvia Day, Jonathan Franzen and Elin Hilderbrand among others.",2023-09-20 20:28:21.868496
129,Goldman Sachs explores sale of lender GreenSky: Report,Business,Yahoo Finance Video,"Goldman Sachs (GS) is reportedly exploring the sale of specialty lender GreenSky, according to the Wall Street Journal. This move comes after Goldman Sachs struck a deal to sell its Personal Finance Management (PFM) unit to Creative Planning in late August. Yahoo Finance Reporter David Hollerith joins the Live show to break down GreenSky's value since Goldman Sachs acquired it, as investors keep a close watch on CEO David Solomon's position at the company, while explaining developments in broker deposits across U.S. banks For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live.",2023-09-20 20:32:31.724312
130,"Gates Foundation commits $200 million to pay for medical supplies, contraception",U.S.,AP Finance,"The Bill & Melinda Gates Foundation pledged $200 million to help save the lives of mothers and children during child birth, as the largest American philanthropic donor throws its weight behind the issue during the nonprofit's annual Goalkeepers conference on the sidelines of the U.N. General Assembly.  Melinda French Gates, who says the issue is personal to her, smiled broadly as she introduced herself not just as the co-founder and co-chair of the foundation but as “Nona,” or grandmother, gesturing to her oldest daughter, Jennifer, who was seated in the audience in New York on Wednesday.  The foundation pledged $100 million each to health products manufacturer Unitaid, and UNFPA, the U.N. agency for reproductive health, to fund access to health care and contraceptive supplies and information in low- and middle-income countries.",2023-09-20 20:36:39.431563
131,FTC nominees vow to combat deceptive AI practices,Politics,Reuters,"The deceptive use of artificial intelligence should be a priority for the Federal Trade Commission (FTC), three commissioner nominees said at a confirmation hearing Tuesday in show of bipartisanship on the popular issue.  The hearing was held to consider the re-nomination of Commissioner Rebecca Slaughter, a Democrat, along with the nominations of two Republicans, Andrew Ferguson and Melissa Holyoak, the solicitors general of Virginia and Utah, respectively.  Ferguson was chief counsel to U.S. Senate Republican Leader Mitch McConnell from 2019 until 2021.",2023-09-20 20:38:43.384388
132,Bank of Canada struck intentionally hawkish tone after last rate decision - minutes,Business,Reuters,"The Bank of Canada wanted to send the message that interest rates would not be coming down soon when it left them at a 22-year high after a policy meeting earlier this month, minutes published on Wednesday showed.  The Bank of Canada (BoC) kept its key rate at 5% on Sept 6, noting the economy had entered a period of weaker growth, but said it could hike again should price pressures persist.  A day later Governor Tiff Macklem said interest rates may not be high enough to bring inflation back down to its 2% target even after 10 hikes of a total of 475 basis points since March of last year.",2023-09-20 20:41:02.563471
133,What puppy treats say about today's economy,Business,Yahoo Finance,The consumer looks to be showing their economic concerns by buying fewer pet treats for Fido.,2023-09-20 20:41:03.238194
134,Houston sued over program setting aside public contracts for minorities,U.S.,Reuters,"A white married couple that owns two landscaping companies has sued Houston, claiming that the city's requirement that certain government contracts be set aside for minority-owned businesses runs afoul of the U.S. Constitution.  The two businesses owned by Jerry and Theresa Thompson in a complaint filed in federal court in Houston on Tuesday said the city's program violates their constitutional rights to equal protection.  The city has said that the four-decade-old program ensures that historically disenfranchised people have an opportunity to participate in lucrative government contracting, and fosters a more competitive economic environment.",2023-09-20 20:47:31.116483
135,Google sued for negligence after man drove off collapsed bridge while following map directions,U.S.,AP Finance,"The family of a North Carolina man who died after driving his car off a collapsed bridge while following Google Maps directions is suing the technology giant for negligence, claiming it had been informed of the collapse but failed to update its navigation system.  Philip Paxson, a medical device salesman and father of two, drowned Sept. 30, 2022, after his Jeep Gladiator plunged into Snow Creek in Hickory, according to a lawsuit filed Tuesday in Wake County Superior Court.  Paxson was driving home from his daughter’s ninth birthday party through an unfamiliar neighborhood when Google Maps allegedly directed him to cross a bridge that had collapsed nine years prior and was never repaired.",2023-09-20 20:47:31.791408
